x,y
900.0,400.6
899.7,398.5
899.1,393.2
898.4,385.9
898.4,384.79999999999995
898.1999999999999,381.59999999999997
897.6999999999999,377.09999999999997
897.4999999999999,376.2
897.1999999999999,374.4
896.9999999999999,371.7
896.6999999999999,371.0
896.0999999999999,369.5
895.3999999999999,367.3
895.1999999999998,366.2
895.1999999999998,364.9
895.4999999999998,363.2
895.7999999999997,362.9
896.2999999999997,362.5
896.7999999999997,362.0
896.4999999999998,361.5
895.8999999999997,360.6
894.8999999999997,359.3
894.2999999999997,358.6
893.2999999999997,357.0
892.2999999999997,354.4
892.2999999999997,353.79999999999995
892.1999999999997,352.69999999999993
891.8999999999997,350.99999999999994
891.6999999999997,350.59999999999997
891.3999999999997,349.7
891.0999999999998,348.4
890.8999999999997,346.79999999999995
890.8999999999997,343.49999999999994
889.2999999999997,339.29999999999995
888.7999999999997,338.59999999999997
887.7999999999997,337.09999999999997
886.3999999999997,334.9
885.8999999999997,333.9
884.7999999999997,332.0
882.9999999999998,329.2
882.3999999999997,328.5
881.6999999999997,327.4
880.9999999999997,324.7
880.9999999999997,324.2
880.7999999999996,323.09999999999997
880.2999999999996,321.7
879.5999999999996,320.8
878.3999999999995,318.8
876.8999999999995,315.7
876.8999999999995,315.0
876.8999999999995,314.0
876.4999999999995,312.8
876.0999999999996,312.2
875.1999999999996,310.9
873.9999999999995,309.0
873.6999999999996,309.0
872.3999999999996,308.0
870.9999999999997,306.5
870.2999999999996,305.9
868.8999999999996,304.79999999999995
866.6999999999996,303.19999999999993
865.5999999999996,302.3999999999999
863.7999999999996,300.2999999999999
861.9999999999997,296.7999999999999
861.8999999999996,295.4999999999999
861.2999999999996,292.9999999999999
859.8999999999996,289.39999999999986
859.3999999999996,288.89999999999986
858.2999999999996,287.9999999999999
856.5999999999996,286.7999999999999
855.8999999999995,286.3999999999999
854.6999999999995,285.49999999999994
853.4999999999994,284.3999999999999
853.0999999999995,283.0999999999999
851.9999999999994,280.69999999999993
849.8999999999994,277.29999999999995
849.5999999999995,276.79999999999995
849.1999999999995,275.69999999999993
848.5999999999995,274.0999999999999
848.8999999999994,273.69999999999993
848.4999999999994,271.8999999999999
847.4999999999994,269.69999999999993
846.3999999999994,267.29999999999995
846.1999999999994,266.69999999999993
845.8999999999994,265.49999999999994
845.5999999999995,263.69999999999993
845.6999999999995,262.69999999999993
845.3999999999995,260.79999999999995
844.3999999999995,258.19999999999993
844.3999999999995,257.49999999999994
843.7999999999995,256.19999999999993
843.5999999999995,254.19999999999993
843.1999999999995,252.99999999999994
842.4999999999994,250.59999999999994
841.7999999999994,246.89999999999995
841.7999999999994,246.49999999999994
841.6999999999994,245.59999999999994
841.3999999999994,244.29999999999993
841.1999999999994,243.29999999999993
841.1999999999994,241.29999999999993
840.4999999999993,238.49999999999991
839.9999999999993,237.1999999999999
838.9999999999993,234.49999999999991
837.5999999999993,230.39999999999992
837.9999999999993,229.79999999999993
838.2999999999993,228.49999999999991
837.9999999999993,226.79999999999993
837.8999999999993,226.69999999999993
837.5999999999993,226.49999999999994
837.1999999999994,226.29999999999995
836.3999999999994,225.89999999999995
835.2999999999994,224.49999999999994
834.6999999999994,222.29999999999995
834.7999999999994,222.09999999999997
834.9999999999994,221.79999999999995
835.3999999999994,221.39999999999995
835.8999999999994,221.09999999999994
836.3999999999994,220.59999999999994
836.7999999999994,219.59999999999994
836.6999999999994,219.19999999999993
836.3999999999994,218.39999999999992
835.7999999999994,217.29999999999993
835.4999999999994,216.79999999999993
834.9999999999994,215.79999999999993
834.3999999999994,214.29999999999993
834.3999999999994,213.89999999999992
834.2999999999994,213.0999999999999
833.9999999999994,211.99999999999991
833.4999999999994,210.99999999999991
832.8999999999994,208.99999999999991
831.2999999999994,206.1999999999999
830.8999999999994,205.3999999999999
830.8999999999994,204.2999999999999
831.8999999999994,202.7999999999999
832.2999999999994,202.5999999999999
833.0999999999993,202.2999999999999
833.8999999999993,201.8999999999999
833.6999999999992,201.3999999999999
